Pickup_date,East_Village,Gramercy,GVillage_N,GVillage_S,Little_Italy,LES,SoHo,Union_Sq
2015-03-17 06:00:00,467,343,250,138,201,187,210,315
2015-03-17 12:00:00,238,235,247,161,293,167,303,556
2015-03-17 18:00:00,720,461,488,412,625,455,492,1143
2015-03-18 00:00:00,249,111,82,108,85,156,58,140
2015-03-18 06:00:00,503,345,278,128,204,220,224,339
2015-03-18 12:00:00,294,291,296,175,370,210,346,643
2015-03-18 18:00:00,676,453,487,417,641,425,548,1186
2015-03-19 00:00:00,225,87,87,85,99,157,84,148
2015-03-19 06:00:00,482,389,256,139,205,234,219,341
2015-03-19 12:00:00,295,311,340,199,377,204,398,762
2015-03-19 18:00:00,800,596,622,520,695,496,630,1465
2015-03-20 00:00:00,307,164,113,149,106,220,90,235
2015-03-20 06:00:00,525,361,277,146,249,254,240,337
2015-03-20 12:00:00,495,491,462,311,548,320,519,1130
2015-03-20 18:00:00,1490,882,813,805,983,760,762,1628
2015-03-21 00:00:00,785,319,226,393,330,730,167,319
2015-03-21 06:00:00,238,174,136,112,119,155,100,138
2015-03-21 12:00:00,623,335,346,302,423,382,342,463
2015-03-21 18:00:00,1334,711,621,632,688,803,517,806
2015-03-22 00:00:00,1448,346,369,642,367,1077,267,433
2015-03-22 06:00:00,205,157,123,73,127,145,75,127
2015-03-22 12:00:00,507,320,302,257,309,312,309,442
2015-03-22 18:00:00,635,311,308,281,369,388,298,435
2015-03-23 00:00:00,164,67,55,66,61,81,47,83
2015-03-23 06:00:00,512,390,275,148,201,208,224,287
2015-03-23 12:00:00,271,235,274,176,289,179,304,520
2015-03-23 18:00:00,510,339,408,338,469,294,396,852
2015-03-24 00:00:00,136,66,60,81,43,81,58,91
2015-03-24 06:00:00,474,386,319,166,203,216,246,333
2015-03-24 12:00:00,296,248,297,207,316,190,302,697
2015-03-24 18:00:00,590,377,479,402,567,400,529,1050
2015-03-25 00:00:00,195,89,84,97,75,132,87,146
2015-03-25 06:00:00,470,328,253,139,224,210,244,312
2015-03-25 12:00:00,314,314,370,242,415,194,413,832
2015-03-25 18:00:00,746,547,606,480,727,533,589,1370
2015-03-26 00:00:00,248,117,100,114,63,178,68,146
2015-03-26 06:00:00,543,368,272,160,262,263,309,375
2015-03-26 12:00:00,302,311,329,193,410,217,383,814
2015-03-26 18:00:00,716,671,598,683,750,537,649,1540
2015-03-27 00:00:00,363,164,157,150,143,308,107,232
2015-03-27 06:00:00,515,412,302,174,201,226,255,346
2015-03-27 12:00:00,326,292,327,264,402,245,414,716
2015-03-27 18:00:00,1106,788,718,679,823,734,698,1292
2015-03-28 00:00:00,1137,379,355,587,364,853,201,443
2015-03-28 06:00:00,276,186,172,108,146,159,119,198
2015-03-28 12:00:00,699,473,339,348,532,443,422,597
2015-03-28 18:00:00,1542,923,865,848,889,924,741,1174
2015-03-29 00:00:00,1867,474,434,897,547,1477,309,545
2015-03-29 06:00:00,243,159,133,80,156,146,108,153
2015-03-29 12:00:00,497,405,342,267,413,344,408,500
2015-03-29 18:00:00,593,330,315,325,425,383,337,477
2015-03-30 00:00:00,167,69,55,81,62,83,61,70
2015-03-30 06:00:00,464,369,263,154,197,243,234,288
2015-03-30 12:00:00,248,265,285,183,314,203,336,553
2015-03-30 18:00:00,445,340,384,331,496,313,420,808
2015-03-31 00:00:00,150,67,63,85,58,95,54,106
2015-03-31 06:00:00,445,376,263,160,218,216,257,310
2015-03-31 12:00:00,339,324,428,242,435,265,447,858
2015-03-31 18:00:00,780,550,736,623,715,524,649,1590
2015-04-01 00:00:00,220,86,74,91,79,113,69,138
2015-04-01 06:00:00,425,372,253,125,225,222,248,305
2015-04-01 12:00:00,275,233,326,200,329,204,314,721
2015-04-01 18:00:00,673,476,603,429,621,494,592,1086
2015-04-02 00:00:00,265,119,86,111,84,165,101,155
2015-04-02 06:00:00,428,363,299,129,228,233,220,340
2015-04-02 12:00:00,321,259,358,211,332,184,333,701
2015-04-02 18:00:00,831,588,660,539,721,601,573,1353
2015-04-03 00:00:00,594,218,209,228,165,358,135,300
2015-04-03 06:00:00,471,380,269,142,209,241,200,305
2015-04-03 12:00:00,497,428,462,274,415,297,399,888
2015-04-03 18:00:00,858,501,525,486,595,555,502,690
2015-04-04 00:00:00,570,205,173,260,284,622,134,242
2015-04-04 06:00:00,250,165,133,84,107,131,106,135
2015-04-04 12:00:00,470,303,366,275,390,376,383,476
2015-04-04 18:00:00,943,498,485,488,567,611,512,647
2015-04-05 00:00:00,647,225,195,272,226,615,147,263
2015-04-05 06:00:00,226,150,123,65,122,124,92,118
2015-04-05 12:00:00,445,294,299,198,345,303,285,363
